time,CPU,memory,cpu_temp,output
2023-07-09 18:52:15.950614,1.6,75.6,29.6,0
2023-07-09 18:52:17.990665,3.1,75.6,29.6,0
2023-07-09 18:52:20.042687,3.1,75.6,29.6,0
2023-07-09 18:52:22.068573,5.0,75.6,29.6,0
2023-07-09 18:52:24.112600,3.9,75.5,29.6,0
2023-07-09 18:52:26.147453,5.8,75.5,29.6,0
2023-07-09 18:52:28.179646,1.6,75.5,29.6,0
2023-07-09 18:52:30.218605,4.7,75.4,29.6,0
2023-07-09 18:52:32.265626,8.2,75.3,29.6,0
2023-07-09 18:52:34.305414,25.0,75.8,29.6,0
2023-07-09 18:52:36.339603,1.2,72.2,29.6,0
2023-07-09 18:52:38.375162,5.8,72.1,29.6,0
2023-07-09 18:52:40.430644,7.0,72.1,29.6,0
2023-07-09 18:52:42.458494,5.1,72.1,29.6,0
2023-07-09 18:52:44.512615,8.1,72.1,29.6,0
2023-07-09 18:52:46.569654,5.0,72.2,29.6,0
2023-07-09 18:52:48.606211,7.0,72.2,29.6,0
2023-07-09 18:52:50.665600,10.8,72.2,29.7,0
2023-07-09 18:52:52.710683,6.9,72.1,29.7,0
2023-07-09 18:52:54.742514,2.7,72.2,29.6,0
2023-07-09 18:52:56.784630,0.8,72.2,29.6,0
2023-07-09 18:52:58.832634,3.8,72.2,29.7,0
2023-07-09 18:53:00.889922,2.0,72.2,29.7,0
2023-07-09 18:53:02.925663,1.2,72.2,29.6,0
2023-07-09 18:53:04.959187,0.8,72.1,29.6,0
2023-07-09 18:53:07.018631,3.1,72.2,29.7,0
2023-07-09 18:53:09.059640,4.3,72.1,29.7,0
2023-07-09 18:53:11.100152,3.1,72.1,29.6,0
2023-07-09 18:53:13.148663,0.4,72.1,29.6,0
2023-07-09 18:53:15.211609,5.1,72.1,29.6,0
2023-07-09 18:53:17.272092,2.7,72.1,29.6,0
2023-07-09 18:53:19.304640,3.5,72.1,29.6,0
2023-07-09 18:53:21.335623,2.7,71.8,29.6,0
2023-07-09 18:53:23.372609,2.0,71.8,29.6,0
2023-07-09 18:53:25.406208,2.3,71.8,29.6,0
2023-07-09 18:53:27.461611,8.9,71.9,29.6,0
2023-07-09 18:53:29.501290,5.4,71.9,29.6,0
2023-07-09 18:53:31.560609,0.4,71.9,29.6,0
2023-07-09 18:53:33.607083,3.1,71.5,29.6,0
2023-07-09 18:53:35.643596,2.7,71.5,29.6,0
2023-07-09 18:53:37.692903,2.7,71.3,29.6,0
2023-07-09 18:53:39.740155,8.6,71.3,29.6,0
2023-07-09 18:53:41.797662,15.2,70.4,29.6,0
2023-07-09 18:53:43.840610,8.1,70.4,29.7,0
2023-07-09 18:53:45.894573,5.5,70.4,29.7,0
2023-07-09 18:53:47.960617,2.0,70.4,29.7,0
2023-07-09 18:53:50.004615,1.2,70.4,29.7,0
2023-07-09 18:53:52.049613,0.0,70.4,29.7,0
2023-07-09 18:53:54.070882,3.1,70.4,29.7,0
2023-07-09 18:53:56.143637,2.3,70.4,29.7,0
2023-07-09 18:53:58.176590,1.5,70.4,29.7,0
2023-07-09 18:54:00.232568,0.0,70.3,29.7,0
2023-07-09 18:54:02.264650,5.0,70.4,29.7,0
2023-07-09 18:54:04.307115,3.1,70.4,29.7,0
2023-07-09 18:54:06.340481,0.8,70.3,29.7,0
2023-07-09 18:54:08.395734,2.7,70.3,29.7,0
2023-07-09 18:54:10.429647,1.2,70.3,29.7,0
2023-07-09 18:54:12.469689,2.3,70.3,29.7,0
2023-07-09 18:54:14.501444,6.2,70.3,29.7,0
2023-07-09 18:54:16.557598,3.1,70.3,29.7,0
2023-07-09 18:54:18.599448,3.9,70.3,29.7,0
2023-07-09 18:54:20.653664,3.5,70.3,29.7,0
2023-07-09 18:54:22.688690,4.3,70.3,29.7,0
2023-07-09 18:54:24.723790,0.8,70.3,29.7,0
2023-07-09 18:54:26.758674,4.3,70.3,29.7,0
2023-07-09 18:54:28.785506,5.1,70.3,29.7,0
2023-07-09 18:54:30.828652,4.2,70.3,29.7,0
2023-07-09 18:54:32.878593,5.7,70.3,29.7,0
2023-07-09 18:54:34.919773,4.3,70.5,29.7,0
2023-07-09 18:54:36.968588,2.7,70.6,29.7,0
2023-07-09 18:54:39.023595,3.1,70.5,29.7,0
2023-07-09 18:54:41.072500,3.1,70.5,29.7,0
2023-07-09 18:54:43.112648,2.7,70.5,29.7,0
2023-07-09 18:54:45.169589,6.2,70.4,29.7,0
2023-07-09 18:54:47.219606,1.5,70.5,29.7,0
2023-07-09 18:54:49.264892,2.7,70.5,29.7,0
2023-07-09 18:54:51.302651,3.8,70.5,29.7,0
2023-07-09 18:54:53.341360,3.9,70.5,29.7,0
2023-07-09 18:54:55.385683,0.0,70.4,29.7,0
2023-07-09 18:54:57.410811,1.5,70.4,29.8,0
2023-07-09 18:54:59.456488,7.3,71.0,29.8,0
2023-07-09 18:55:01.493509,3.1,71.0,29.8,0
2023-07-09 18:55:03.532690,3.1,71.0,29.8,0
2023-07-09 18:55:05.569293,1.2,71.0,29.7,0
2023-07-09 18:55:07.613692,3.5,71.0,29.7,0
2023-07-09 18:55:09.662600,3.1,71.0,29.8,0
2023-07-09 18:55:11.708663,8.2,71.0,29.8,0
2023-07-09 18:55:13.760600,7.7,70.6,29.8,0
2023-07-09 18:55:15.812558,3.5,70.6,29.8,0
2023-07-09 18:55:17.849638,1.9,70.6,29.7,0
2023-07-09 18:55:19.893634,4.2,70.6,29.7,0
2023-07-09 18:55:21.943861,1.9,70.6,29.8,0
2023-07-09 18:55:23.984629,0.8,70.6,29.8,0
2023-07-09 18:55:26.039378,7.0,70.6,29.8,0
2023-07-09 18:55:28.087613,13.0,70.6,29.8,0
2023-07-09 18:55:30.136560,5.8,70.6,29.8,0
2023-07-09 18:55:32.201582,2.7,70.5,29.8,0
2023-07-09 18:55:34.257595,0.8,70.5,29.8,0
2023-07-09 18:55:36.302651,3.9,70.5,29.8,0
2023-07-09 18:55:38.347648,2.0,70.5,29.9,0
2023-07-09 18:55:40.390907,3.8,70.5,29.9,0
2023-07-09 18:55:42.462629,2.3,70.5,29.9,0
2023-07-09 18:55:44.514591,2.0,70.5,29.9,0
2023-07-09 18:55:46.562643,4.3,70.5,29.9,0
2023-07-09 18:55:48.630611,6.2,70.5,29.9,0
2023-07-09 18:55:50.694605,0.8,70.5,29.8,0
2023-07-09 18:55:52.742628,0.8,70.5,29.8,0
2023-07-09 18:55:54.805612,3.5,70.5,29.9,0
2023-07-09 18:55:56.854596,2.7,70.5,29.9,0
2023-07-09 18:55:58.912597,0.8,70.5,29.8,0
2023-07-09 18:56:00.972605,1.5,70.5,29.8,0
2023-07-09 18:56:03.018652,2.3,70.3,29.8,0
2023-07-09 18:56:05.062670,1.6,70.3,29.8,0
2023-07-09 18:56:07.119600,3.4,70.3,29.9,0
2023-07-09 18:56:09.186588,5.9,70.0,29.9,0
2023-07-09 18:56:11.242625,1.9,70.0,29.9,0
2023-07-09 18:56:13.286470,0.8,70.0,29.9,0
2023-07-09 18:56:15.336678,1.5,70.0,29.9,0
2023-07-09 18:56:17.393603,1.9,70.0,29.9,0
